Year,Taxes,Land,added_to,Additions,equals,Total_assessments,listing_page
2020,"$5,873","$32,000",+,N/A,=,"$32,000",https://www.realtor.com/realestateandhomes-detail/6805-Idea-Rd_Austin_TX_78741_M79416-47180
2019,$957,"$30,415",+,N/A,=,"$30,415",https://www.realtor.com/realestateandhomes-detail/6805-Idea-Rd_Austin_TX_78741_M79416-47180
2018,$992,"$24,192",+,N/A,=,"$24,192",https://www.realtor.com/realestateandhomes-detail/6805-Idea-Rd_Austin_TX_78741_M79416-47180
2022,"$8,726","$100,000",+,"$176,680",=,"$276,680",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2021,"$6,587","$100,000",+,"$123,246",=,"$223,246",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2020,"$5,208","$100,000",+,"$123,246",=,"$223,246",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2019,"$5,345","$100,000",+,"$85,250",=,"$185,250",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2018,"$4,597","$75,000",+,"$90,365",=,"$165,365",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2017,"$4,230","$25,000",+,"$105,249",=,"$130,249",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2016,"$3,417","$25,000",+,"$93,228",=,"$118,228",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2022,"$17,304","$75,000",+,"$430,784",=,"$505,784",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2021,"$12,042","$75,000",+,"$278,272",=,"$353,272",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2020,"$8,241","$75,000",+,"$278,272",=,"$353,272",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2019,"$8,459","$75,000",+,"$295,684",=,"$370,684",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2018,"$9,200","$75,000",+,"$266,337",=,"$341,337",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2017,"$8,731","$10,606",+,N/A,=,"$10,606",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2016,$349,"$13,329",+,N/A,=,"$13,329",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2022,"$5,924","$100,000",+,"$132,440",=,"$232,440",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2021,"$5,534","$100,000",+,"$100,000",=,"$200,000",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2020,"$5,018","$100,000",+,"$70,843",=,"$170,843",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2019,"$4,090","$100,000",+,"$35,986",=,"$135,986",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2018,"$3,375","$75,000",+,"$38,170",=,"$113,170",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2017,"$3,220","$25,000",+,"$66,686",=,"$91,686",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2016,"$2,405","$25,000",+,"$28,442",=,"$53,442",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2022,"$12,087","$90,000",+,"$206,100",=,"$296,100",https://www.realtor.com/realestateandhomes-detail/2113-Thrasher-Ln-Apt-1_Austin_TX_78741_M88364-86990
2021,"$6,593","$90,000",+,"$144,200",=,"$234,200",https://www.realtor.com/realestateandhomes-detail/2113-Thrasher-Ln-Apt-1_Austin_TX_78741_M88364-86990
2020,"$5,023","$90,000",+,"$144,909",=,"$234,909",https://www.realtor.com/realestateandhomes-detail/2113-Thrasher-Ln-Apt-1_Austin_TX_78741_M88364-86990
2019,"$5,159","$90,000",+,"$146,890",=,"$236,890",https://www.realtor.com/realestateandhomes-detail/2113-Thrasher-Ln-Apt-1_Austin_TX_78741_M88364-86990
2018,"$5,382","$78,750",+,"$166,574",=,"$245,324",https://www.realtor.com/realestateandhomes-detail/2113-Thrasher-Ln-Apt-1_Austin_TX_78741_M88364-86990
2017,"$5,471","$25,000",+,"$159,903",=,"$184,903",https://www.realtor.com/realestateandhomes-detail/2113-Thrasher-Ln-Apt-1_Austin_TX_78741_M88364-86990
2016,"$4,245","$25,000",+,"$89,975",=,"$114,975",https://www.realtor.com/realestateandhomes-detail/2113-Thrasher-Ln-Apt-1_Austin_TX_78741_M88364-86990
2022,"$3,113",N/A,+,N/A,=,"$130,051",https://www.realtor.com/realestateandhomes-detail/702-Culp-St_Austin_TX_78741_M82438-08065
2021,"$2,895",N/A,+,N/A,=,"$118,228",https://www.realtor.com/realestateandhomes-detail/702-Culp-St_Austin_TX_78741_M82438-08065
2020,"$2,535",N/A,+,N/A,=,"$107,480",https://www.realtor.com/realestateandhomes-detail/702-Culp-St_Austin_TX_78741_M82438-08065
2019,"$2,360",N/A,+,N/A,=,"$97,709",https://www.realtor.com/realestateandhomes-detail/702-Culp-St_Austin_TX_78741_M82438-08065
2018,"$2,163",N/A,+,N/A,=,"$88,826",https://www.realtor.com/realestateandhomes-detail/702-Culp-St_Austin_TX_78741_M82438-08065
2017,"$1,980","$45,000",+,"$35,751",=,"$80,751",https://www.realtor.com/realestateandhomes-detail/702-Culp-St_Austin_TX_78741_M82438-08065
2016,"$1,854","$45,000",+,"$35,751",=,"$80,751",https://www.realtor.com/realestateandhomes-detail/702-Culp-St_Austin_TX_78741_M82438-08065
2022,"$8,458",N/A,+,N/A,=,"$34,162",https://www.realtor.com/realestateandhomes-detail/2105-Yellow-Jacket-Ln_Austin_TX_78741_M70060-82944
2021,$813,N/A,+,N/A,=,"$31,056",https://www.realtor.com/realestateandhomes-detail/2105-Yellow-Jacket-Ln_Austin_TX_78741_M70060-82944
2020,$724,N/A,+,N/A,=,"$28,233",https://www.realtor.com/realestateandhomes-detail/2105-Yellow-Jacket-Ln_Austin_TX_78741_M70060-82944
2019,$676,N/A,+,N/A,=,"$25,666",https://www.realtor.com/realestateandhomes-detail/2105-Yellow-Jacket-Ln_Austin_TX_78741_M70060-82944
2018,$637,"$6,500",+,"$16,833",=,"$23,333",https://www.realtor.com/realestateandhomes-detail/2105-Yellow-Jacket-Ln_Austin_TX_78741_M70060-82944
2017,$596,"$6,500",+,"$16,833",=,"$23,333",https://www.realtor.com/realestateandhomes-detail/2105-Yellow-Jacket-Ln_Austin_TX_78741_M70060-82944
2016,$612,"$6,500",+,"$16,833",=,"$23,333",https://www.realtor.com/realestateandhomes-detail/2105-Yellow-Jacket-Ln_Austin_TX_78741_M70060-82944
2022,"$3,142",N/A,+,N/A,=,"$123,294",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78741_M85515-66145
2021,"$2,935",N/A,+,N/A,=,"$112,085",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78741_M85515-66145
2020,"$2,614",N/A,+,N/A,=,"$101,895",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78741_M85515-66145
2019,"$2,439",N/A,+,N/A,=,"$92,632",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78741_M85515-66145
2018,"$2,299",N/A,+,N/A,=,"$84,211",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78741_M85515-66145
2017,"$2,154",N/A,+,N/A,=,"$76,555",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78741_M85515-66145
2016,"$2,008",N/A,+,N/A,=,"$69,595",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78741_M85515-66145
2022,"$9,907","$75,000",+,N/A,=,"$75,000",https://www.realtor.com/realestateandhomes-detail/2301-Thrasher-Ln_Austin_TX_78741_M77976-44060
2021,"$1,670","$75,000",+,N/A,=,"$75,000",https://www.realtor.com/realestateandhomes-detail/2301-Thrasher-Ln_Austin_TX_78741_M77976-44060
2020,"$1,608","$75,000",+,N/A,=,"$75,000",https://www.realtor.com/realestateandhomes-detail/2301-Thrasher-Ln_Austin_TX_78741_M77976-44060
2019,"$1,647","$75,000",+,N/A,=,"$75,000",https://www.realtor.com/realestateandhomes-detail/2301-Thrasher-Ln_Austin_TX_78741_M77976-44060
2018,"$1,660","$75,000",+,N/A,=,"$75,000",https://www.realtor.com/realestateandhomes-detail/2301-Thrasher-Ln_Austin_TX_78741_M77976-44060
2017,"$1,672","$25,000",+,N/A,=,"$25,000",https://www.realtor.com/realestateandhomes-detail/2301-Thrasher-Ln_Austin_TX_78741_M77976-44060
2016,$574,"$25,000",+,N/A,=,"$25,000",https://www.realtor.com/realestateandhomes-detail/2301-Thrasher-Ln_Austin_TX_78741_M77976-44060
2022,"$10,421","$100,000",+,"$230,786",=,"$330,786",https://www.realtor.com/realestateandhomes-detail/6707-Santos-St_Austin_TX_78741_M86427-77245
2021,"$7,365","$100,000",+,"$158,227",=,"$258,227",https://www.realtor.com/realestateandhomes-detail/6707-Santos-St_Austin_TX_78741_M86427-77245
2020,"$5,538","$100,000",+,"$158,227",=,"$258,227",https://www.realtor.com/realestateandhomes-detail/6707-Santos-St_Austin_TX_78741_M86427-77245
2019,"$5,672","$100,000",+,"$138,291",=,"$238,291",https://www.realtor.com/realestateandhomes-detail/6707-Santos-St_Austin_TX_78741_M86427-77245
2018,"$5,275","$100,000",+,"$133,500",=,"$233,500",https://www.realtor.com/realestateandhomes-detail/6707-Santos-St_Austin_TX_78741_M86427-77245
2017,"$5,207","$30,000",+,"$159,222",=,"$189,222",https://www.realtor.com/realestateandhomes-detail/6707-Santos-St_Austin_TX_78741_M86427-77245
2016,"$4,344","$30,000",+,"$108,769",=,"$138,769",https://www.realtor.com/realestateandhomes-detail/6707-Santos-St_Austin_TX_78741_M86427-77245
2022,"$7,989","$100,000",+,"$170,523",=,"$270,523",https://www.realtor.com/realestateandhomes-detail/6409-Porter-St_Austin_TX_78741_M81485-86765
2021,"$6,023","$100,000",+,"$126,933",=,"$226,933",https://www.realtor.com/realestateandhomes-detail/6409-Porter-St_Austin_TX_78741_M81485-86765
2020,"$4,867","$100,000",+,"$126,933",=,"$226,933",https://www.realtor.com/realestateandhomes-detail/6409-Porter-St_Austin_TX_78741_M81485-86765
2019,"$4,984","$100,000",+,"$89,915",=,"$189,915",https://www.realtor.com/realestateandhomes-detail/6409-Porter-St_Austin_TX_78741_M81485-86765
2018,"$4,204","$75,000",+,"$95,566",=,"$170,566",https://www.realtor.com/realestateandhomes-detail/6409-Porter-St_Austin_TX_78741_M81485-86765
2017,"$3,803","$25,000",+,"$111,306",=,"$136,306",https://www.realtor.com/realestateandhomes-detail/6409-Porter-St_Austin_TX_78741_M81485-86765
2016,"$3,129","$25,000",+,"$98,593",=,"$123,593",https://www.realtor.com/realestateandhomes-detail/6409-Porter-St_Austin_TX_78741_M81485-86765
2022,"$4,532","$208,250",+,N/A,=,"$208,250",https://www.realtor.com/realestateandhomes-detail/412-Kemp-St_Austin_TX_78741_M87931-05273
2021,"$4,637","$208,250",+,N/A,=,"$208,250",https://www.realtor.com/realestateandhomes-detail/412-Kemp-St_Austin_TX_78741_M87931-05273
2020,"$4,466","$208,250",+,N/A,=,"$208,250",https://www.realtor.com/realestateandhomes-detail/412-Kemp-St_Austin_TX_78741_M87931-05273
2019,"$4,574","$233,750",+,N/A,=,"$233,750",https://www.realtor.com/realestateandhomes-detail/412-Kemp-St_Austin_TX_78741_M87931-05273
2018,"$5,175","$175,313",+,N/A,=,"$175,313",https://www.realtor.com/realestateandhomes-detail/412-Kemp-St_Austin_TX_78741_M87931-05273
2021,"$16,524","$110,000",+,"$632,086",=,"$742,086",https://www.realtor.com/realestateandhomes-detail/6217-Clovis-St-A_Austin_TX_78741_M98822-58654
2020,"$2,449","$110,000",+,N/A,=,"$110,000",https://www.realtor.com/realestateandhomes-detail/6217-Clovis-St-A_Austin_TX_78741_M98822-58654
2019,"$2,359","$110,000",+,N/A,=,"$110,000",https://www.realtor.com/realestateandhomes-detail/6217-Clovis-St-A_Austin_TX_78741_M98822-58654
2018,"$2,435","$110,000",+,N/A,=,"$110,000",https://www.realtor.com/realestateandhomes-detail/6217-Clovis-St-A_Austin_TX_78741_M98822-58654
2017,"$1,827","$82,500",+,N/A,=,"$82,500",https://www.realtor.com/realestateandhomes-detail/6217-Clovis-St-A_Austin_TX_78741_M98822-58654
2016,"$1,320","$57,500",+,N/A,=,"$57,500",https://www.realtor.com/realestateandhomes-detail/6217-Clovis-St-A_Austin_TX_78741_M98822-58654
2015,"$1,320","$57,500",+,N/A,=,"$57,500",https://www.realtor.com/realestateandhomes-detail/6217-Clovis-St-A_Austin_TX_78741_M98822-58654
2022,"$5,132","$100,000",+,"$117,231",=,"$217,231",https://www.realtor.com/realestateandhomes-detail/1414-Vargas-Rd_Austin_TX_78741_M86852-60420
2021,"$4,837","$100,000",+,"$94,888",=,"$194,888",https://www.realtor.com/realestateandhomes-detail/1414-Vargas-Rd_Austin_TX_78741_M86852-60420
2020,"$2,316",N/A,+,N/A,=,"$98,179",https://www.realtor.com/realestateandhomes-detail/1414-Vargas-Rd_Austin_TX_78741_M86852-60420
2019,"$2,156",N/A,+,N/A,=,"$89,254",https://www.realtor.com/realestateandhomes-detail/1414-Vargas-Rd_Austin_TX_78741_M86852-60420
2018,"$1,976",N/A,+,N/A,=,"$81,140",https://www.realtor.com/realestateandhomes-detail/1414-Vargas-Rd_Austin_TX_78741_M86852-60420
2017,"$1,809",N/A,+,N/A,=,"$73,764",https://www.realtor.com/realestateandhomes-detail/1414-Vargas-Rd_Austin_TX_78741_M86852-60420
2016,"$1,693",N/A,+,N/A,=,"$67,058",https://www.realtor.com/realestateandhomes-detail/1414-Vargas-Rd_Austin_TX_78741_M86852-60420
2022,"$2,874",N/A,+,N/A,=,"$120,058",https://www.realtor.com/realestateandhomes-detail/6803-Cruz-St_Austin_TX_78741_M77820-51366
2021,"$2,673",N/A,+,N/A,=,"$109,144",https://www.realtor.com/realestateandhomes-detail/6803-Cruz-St_Austin_TX_78741_M77820-51366
2020,"$2,340",N/A,+,N/A,=,"$99,222",https://www.realtor.com/realestateandhomes-detail/6803-Cruz-St_Austin_TX_78741_M77820-51366
2019,"$2,179",N/A,+,N/A,=,"$90,202",https://www.realtor.com/realestateandhomes-detail/6803-Cruz-St_Austin_TX_78741_M77820-51366
2018,"$1,997",N/A,+,N/A,=,"$82,002",https://www.realtor.com/realestateandhomes-detail/6803-Cruz-St_Austin_TX_78741_M77820-51366
2017,"$1,828",N/A,+,N/A,=,"$74,547",https://www.realtor.com/realestateandhomes-detail/6803-Cruz-St_Austin_TX_78741_M77820-51366
2016,"$1,711",N/A,+,N/A,=,"$67,770",https://www.realtor.com/realestateandhomes-detail/6803-Cruz-St_Austin_TX_78741_M77820-51366
2022,"$10,728","$40,000",+,"$241,007",=,"$281,007",https://www.realtor.com/realestateandhomes-detail/7524-Cayenne-Ln_Austin_TX_78741_M82276-03647
2021,"$6,690","$40,000",+,"$219,143",=,"$259,143",https://www.realtor.com/realestateandhomes-detail/7524-Cayenne-Ln_Austin_TX_78741_M82276-03647
2020,"$6,045","$40,000",+,"$219,143",=,"$259,143",https://www.realtor.com/realestateandhomes-detail/7524-Cayenne-Ln_Austin_TX_78741_M82276-03647
2019,"$6,205","$40,000",+,"$221,197",=,"$261,197",https://www.realtor.com/realestateandhomes-detail/7524-Cayenne-Ln_Austin_TX_78741_M82276-03647
2018,"$6,482","$40,000",+,"$188,679",=,"$228,679",https://www.realtor.com/realestateandhomes-detail/7524-Cayenne-Ln_Austin_TX_78741_M82276-03647
2017,"$5,849","$40,000",+,"$153,680",=,"$193,680",https://www.realtor.com/realestateandhomes-detail/7524-Cayenne-Ln_Austin_TX_78741_M82276-03647
2016,"$5,082","$40,000",+,"$134,687",=,"$174,687",https://www.realtor.com/realestateandhomes-detail/7524-Cayenne-Ln_Austin_TX_78741_M82276-03647
2022,"$2,697",N/A,+,N/A,=,"$112,664",https://www.realtor.com/realestateandhomes-detail/6701-Canal-St_Austin_TX_78741_M75701-44805
2021,"$2,508",N/A,+,N/A,=,"$102,422",https://www.realtor.com/realestateandhomes-detail/6701-Canal-St_Austin_TX_78741_M75701-44805
2020,"$2,196",N/A,+,N/A,=,"$93,111",https://www.realtor.com/realestateandhomes-detail/6701-Canal-St_Austin_TX_78741_M75701-44805
2019,"$2,045",N/A,+,N/A,=,"$84,646",https://www.realtor.com/realestateandhomes-detail/6701-Canal-St_Austin_TX_78741_M75701-44805
2018,"$1,874",N/A,+,N/A,=,"$76,951",https://www.realtor.com/realestateandhomes-detail/6701-Canal-St_Austin_TX_78741_M75701-44805
2017,"$1,716",N/A,+,N/A,=,"$69,955",https://www.realtor.com/realestateandhomes-detail/6701-Canal-St_Austin_TX_78741_M75701-44805
2016,"$1,606",N/A,+,N/A,=,"$63,595",https://www.realtor.com/realestateandhomes-detail/6701-Canal-St_Austin_TX_78741_M75701-44805
2022,"$9,567","$100,000",+,"$212,132",=,"$312,132",https://www.realtor.com/realestateandhomes-detail/6112-Larch-Ter_Austin_TX_78741_M74154-66290
2021,"$7,431","$100,000",+,"$145,019",=,"$245,019",https://www.realtor.com/realestateandhomes-detail/6112-Larch-Ter_Austin_TX_78741_M74154-66290
2020,"$3,555",N/A,+,N/A,=,"$138,542",https://www.realtor.com/realestateandhomes-detail/6112-Larch-Ter_Austin_TX_78741_M74154-66290
2019,"$3,317",N/A,+,N/A,=,"$125,947",https://www.realtor.com/realestateandhomes-detail/6112-Larch-Ter_Austin_TX_78741_M74154-66290
2018,"$3,125",N/A,+,N/A,=,"$114,497",https://www.realtor.com/realestateandhomes-detail/6112-Larch-Ter_Austin_TX_78741_M74154-66290
2017,"$2,928",N/A,+,N/A,=,"$104,088",https://www.realtor.com/realestateandhomes-detail/6112-Larch-Ter_Austin_TX_78741_M74154-66290
2016,"$2,731",N/A,+,N/A,=,"$94,625",https://www.realtor.com/realestateandhomes-detail/6112-Larch-Ter_Austin_TX_78741_M74154-66290
2022,"$4,607",N/A,+,N/A,=,"$180,791",https://www.realtor.com/realestateandhomes-detail/7005-Frontera-Trl_Austin_TX_78741_M84180-86478
2021,"$4,304",N/A,+,N/A,=,"$164,355",https://www.realtor.com/realestateandhomes-detail/7005-Frontera-Trl_Austin_TX_78741_M84180-86478
2020,"$3,834",N/A,+,N/A,=,"$149,414",https://www.realtor.com/realestateandhomes-detail/7005-Frontera-Trl_Austin_TX_78741_M84180-86478
2019,"$3,577","$30,000",+,"$105,831",=,"$135,831",https://www.realtor.com/realestateandhomes-detail/7005-Frontera-Trl_Austin_TX_78741_M84180-86478
2018,"$3,371",N/A,+,N/A,=,"$129,689",https://www.realtor.com/realestateandhomes-detail/7005-Frontera-Trl_Austin_TX_78741_M84180-86478
2017,"$3,317",N/A,+,N/A,=,"$117,899",https://www.realtor.com/realestateandhomes-detail/7005-Frontera-Trl_Austin_TX_78741_M84180-86478
2016,"$3,093",N/A,+,N/A,=,"$107,181",https://www.realtor.com/realestateandhomes-detail/7005-Frontera-Trl_Austin_TX_78741_M84180-86478
2022,"$6,150",N/A,+,N/A,=,"$241,307",https://www.realtor.com/realestateandhomes-detail/1700-Poppy-Seed-Ln_Austin_TX_78741_M83685-22775
2021,"$5,745",N/A,+,N/A,=,"$219,370",https://www.realtor.com/realestateandhomes-detail/1700-Poppy-Seed-Ln_Austin_TX_78741_M83685-22775
2020,"$5,117",N/A,+,N/A,=,"$199,427",https://www.realtor.com/realestateandhomes-detail/1700-Poppy-Seed-Ln_Austin_TX_78741_M83685-22775
2019,"$4,775",N/A,+,N/A,=,"$181,297",https://www.realtor.com/realestateandhomes-detail/1700-Poppy-Seed-Ln_Austin_TX_78741_M83685-22775
2018,"$4,499",N/A,+,N/A,=,"$164,815",https://www.realtor.com/realestateandhomes-detail/1700-Poppy-Seed-Ln_Austin_TX_78741_M83685-22775
2017,"$4,216",N/A,+,N/A,=,"$149,832",https://www.realtor.com/realestateandhomes-detail/1700-Poppy-Seed-Ln_Austin_TX_78741_M83685-22775
2016,"$3,931",N/A,+,N/A,=,"$136,211",https://www.realtor.com/realestateandhomes-detail/1700-Poppy-Seed-Ln_Austin_TX_78741_M83685-22775
2022,"$6,832",N/A,+,N/A,=,"$268,089",https://www.realtor.com/realestateandhomes-detail/1717-Poppy-Seed-Ln_Austin_TX_78741_M81733-24503
2021,"$6,383",N/A,+,N/A,=,"$243,717",https://www.realtor.com/realestateandhomes-detail/1717-Poppy-Seed-Ln_Austin_TX_78741_M81733-24503
2020,"$5,685",N/A,+,N/A,=,"$221,561",https://www.realtor.com/realestateandhomes-detail/1717-Poppy-Seed-Ln_Austin_TX_78741_M81733-24503
2019,"$5,305",N/A,+,N/A,=,"$201,419",https://www.realtor.com/realestateandhomes-detail/1717-Poppy-Seed-Ln_Austin_TX_78741_M81733-24503
2018,"$4,999",N/A,+,N/A,=,"$183,108",https://www.realtor.com/realestateandhomes-detail/1717-Poppy-Seed-Ln_Austin_TX_78741_M81733-24503
2017,"$4,684",N/A,+,N/A,=,"$166,462",https://www.realtor.com/realestateandhomes-detail/1717-Poppy-Seed-Ln_Austin_TX_78741_M81733-24503
2016,"$4,368",N/A,+,N/A,=,"$151,329",https://www.realtor.com/realestateandhomes-detail/1717-Poppy-Seed-Ln_Austin_TX_78741_M81733-24503
2022,"$4,204","$75,000",+,"$111,915",=,"$186,915",https://www.realtor.com/realestateandhomes-detail/6512-Circulo-De-Amistad_Austin_TX_78741_M79600-21096
2021,"$4,161","$75,000",+,"$112,598",=,"$187,598",https://www.realtor.com/realestateandhomes-detail/6512-Circulo-De-Amistad_Austin_TX_78741_M79600-21096
2020,"$4,023","$75,000",+,"$112,598",=,"$187,598",https://www.realtor.com/realestateandhomes-detail/6512-Circulo-De-Amistad_Austin_TX_78741_M79600-21096
2019,"$4,120",N/A,+,N/A,=,"$90,482",https://www.realtor.com/realestateandhomes-detail/6512-Circulo-De-Amistad_Austin_TX_78741_M79600-21096
2018,"$2,003",N/A,+,N/A,=,"$82,256",https://www.realtor.com/realestateandhomes-detail/6512-Circulo-De-Amistad_Austin_TX_78741_M79600-21096
2017,"$1,834","$15,000",+,"$59,778",=,"$74,778",https://www.realtor.com/realestateandhomes-detail/6512-Circulo-De-Amistad_Austin_TX_78741_M79600-21096
2016,"$1,716","$15,000",+,"$60,526",=,"$75,526",https://www.realtor.com/realestateandhomes-detail/6512-Circulo-De-Amistad_Austin_TX_78741_M79600-21096
2022,"$11,084","$40,000",+,"$473,037",=,"$513,037",https://www.realtor.com/realestateandhomes-detail/6805-Idea-Rd_Austin_TX_78741_M79416-47180
2021,"$12,215","$40,000",+,"$211,775",=,"$251,775",https://www.realtor.com/realestateandhomes-detail/6805-Idea-Rd_Austin_TX_78741_M79416-47180
2020,"$5,873","$32,000",+,N/A,=,"$32,000",https://www.realtor.com/realestateandhomes-detail/6805-Idea-Rd_Austin_TX_78741_M79416-47180
2019,$957,"$30,415",+,N/A,=,"$30,415",https://www.realtor.com/realestateandhomes-detail/6805-Idea-Rd_Austin_TX_78741_M79416-47180
2018,$992,"$24,192",+,N/A,=,"$24,192",https://www.realtor.com/realestateandhomes-detail/6805-Idea-Rd_Austin_TX_78741_M79416-47180
2022,"$8,726","$100,000",+,"$176,680",=,"$276,680",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2021,"$6,587","$100,000",+,"$123,246",=,"$223,246",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2020,"$5,208","$100,000",+,"$123,246",=,"$223,246",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2019,"$5,345","$100,000",+,"$85,250",=,"$185,250",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2018,"$4,597","$75,000",+,"$90,365",=,"$165,365",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2017,"$4,230","$25,000",+,"$105,249",=,"$130,249",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2016,"$3,417","$25,000",+,"$93,228",=,"$118,228",https://www.realtor.com/realestateandhomes-detail/6030-Bluebell-Cir_Austin_TX_78741_M76124-91328
2022,"$17,304","$75,000",+,"$430,784",=,"$505,784",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2021,"$12,042","$75,000",+,"$278,272",=,"$353,272",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2020,"$8,241","$75,000",+,"$278,272",=,"$353,272",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2019,"$8,459","$75,000",+,"$295,684",=,"$370,684",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2018,"$9,200","$75,000",+,"$266,337",=,"$341,337",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2017,"$8,731","$10,606",+,N/A,=,"$10,606",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2016,$349,"$13,329",+,N/A,=,"$13,329",https://www.realtor.com/realestateandhomes-detail/2213-Maxwell-Ln_Austin_TX_78741_M77295-40502
2022,"$5,924","$100,000",+,"$132,440",=,"$232,440",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2021,"$5,534","$100,000",+,"$100,000",=,"$200,000",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2020,"$5,018","$100,000",+,"$70,843",=,"$170,843",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2019,"$4,090","$100,000",+,"$35,986",=,"$135,986",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2018,"$3,375","$75,000",+,"$38,170",=,"$113,170",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2017,"$3,220","$25,000",+,"$66,686",=,"$91,686",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2016,"$2,405","$25,000",+,"$28,442",=,"$53,442",https://www.realtor.com/realestateandhomes-detail/6100-Larch-Ter_Austin_TX_78741_M74203-10862
2022,"$12,087","$90,000",+,"$206,100",=,"$296,100",https://www.realtor.com/realestateandhomes-detail/2113-Thrasher-Ln-Apt-1_Austin_TX_78741_M88364-86990
2021,"$6,593","$90,000",+,"$144,200",=,"$234,200",https://www.realtor.com/realestateandhomes-detail/2113-Thrasher-Ln-Apt-1_Austin_TX_78741_M88364-86990
2020,"$5,023","$90,000",+,"$144,909",=,"$234,909",https://www.realtor.com/realestateandhomes-detail/2113-Thrasher-Ln-Apt-1_Austin_TX_78741_M88364-86990
